SYMBOL,OPEN,LOW,HIGH,CLOSE,LAST
20MICRONS,96.85,95.4,97.85,95.95,96.25
21STCENMGM,23.15,22.8,23.6,23.3,23
3IINFOLTD,42.6,42.25,43.4,42.6,42.5
3MINDIA,23552,23330,23588.1,23384.1,23429.85
3PLAND,19,18.25,19.1,18.95,19
4THDIM,79.9,79.9,79.9,79.9,79.9
5PAISA,331.5,331.5,363,353.65,354.7
63MOONS,172,167.85,173.45,168.55,168.15
A2ZINFRA,10.95,10.75,11.25,10.85,10.85
AAKASH,14.65,13.95,14.65,14.15,14.05
AAREYDRUGS,38.6,38.6,42.75,40,39.55
AARON,161.5,157.1,164,160.5,163
AARTIDRUGS,3771.5,3748.9,3794,3784.6,3782
AARTIIND,28.53,28.41,28.74,28.43,28.42
AARTISURF,2279,2271,2295.85,2283.25,2279.75
AARVEEDEN,376.25,372,380,372,372
AARVI,36.15,35.75,36.2,35.95,36.1
AAVAS,1180,1160.65,1180,1160.71,1160.65
ABAN,1140.65,1140.65,1140.65,1140.65,1140.65
ABB,1197,1197,1197,1197,1197
ABBOTINDIA,1210,1206,1210.01,1206,1206
ABCAPITAL,1205,1205,1205,1205,1205
ABFRL,1414.6,1386.6,1414.6,1394.07,1390
ABMINTLLTD,129.5,126.8,130.5,129.2,128.45
ABSLAMC,900,900,900,900,900
ACC,925,925,925,925,925
ACCELYA,905,900,905,905,905
ACCURACY,1400,1400,1400,1400,1400
ACE,975.6,975.6,975.6,975.6,975.6
ACRYSIL,1015,1015,1015,1015,1015
ADANIENT,905,901.4,905,901.4,901.4
ADANIGREEN,955,955,955,955,955
ADANIPORTS,1000,1000,1000,1000,1000
ADANIPOWER,979,979,979,979,979
ADANITRANS,969.99,969.99,969.99,969.99,969.99
ADFFOODS,1110,1015,1110,1015,1015
ADL,10,9.65,10.05,9.75,9.75
ADORWELD,1093.99,1093,1094,1094,1094
ADROITINFO,353,349,356.4,350.4,349.3
ADSL,1035,1035,1035,1035,1035
ADVANIHOTR,1003,1002,1003,1002,1002
ADVENZYMES,1006.15,1006.15,1006.15,1006.15,1006.15
AEGISCHEM,1021,1020.01,1030,1029.8,1029.8
AETHER,1007.91,1004.01,1009.01,1009,1009
AFFLE,994,975,997,975.81,989.4
AGARIND,958.25,918.05,958.25,918.05,918.05
AGI,21.35,21.3,21.45,21.4,21.4
AGRITECH,1095,1095,1095,1095,1095
AGROPHOS,1224.99,1224.99,1224.99,1224.99,1224.99
AGSTRA,1100,1100,1100,1100,1100
AHLADA,1070.3,1070.3,1070.3,1070.3,1070.3
AHLEAST,1250,1239.2,1250,1239.96,1239.2
AHLUCONT,1050,1045.01,1050,1045.01,1045.01
AIAENG,1130,1113.06,1130,1129.06,1129.39
AIRAN,1190,1190,1209.99,1209.99,1209.99
AIROLAM,1058.99,1045.35,1058.99,1051,1051
AJANTPHARM,1137.15,1137,1140,1139.99,1139.99
AJMERA,207.45,203.15,208.25,206.1,205.9
AJOONI,1066,1062,1066,1062,1062
AJRINFRA,37.5,37.4,38.4,37.9,38
AKASH,1249.99,1249.99,1249.99,1249.99,1249.99
AKG,1355,1355,1355,1355,1355
AKSHAR,164.85,164.25,166.8,164.75,165
AKSHARCHEM,1120,1119.99,1120,1119.99,1119.99
AKSHOPTFBR,1242,1242,1250,1250,1250
AKZOINDIA,13.28,13.28,13.4,13.28,13.28
ALANKIT,1050,1047.01,1050,1047.01,1047.01
ALBERTDAVD,1201,1192,1220,1220,1220
ALEMBICLTD,102.6,101.5,103.25,101.95,102
ALICON,1193,1185,1239.7,1219.99,1219.99
ALKALI,1118,1118,1124,1124,1124
ALKEM,1120,1119,1120,1119.4,1119
ALKYLAMINE,1382,1380,1383.88,1380,1380
ALLCARGO,329.3,317.85,330.8,321.6,322.05
ALLSEC,1040.3,1040.3,1378,1378,1378
ALMONDZ,92.7,91.4,92.7,91.95,92
ALOKINDS,1098.79,1098.79,1098.79,1098.79,1098.79
ALPA,1145,1145,1152,1152,1152
ALPHAGEO,1059.5,1059.5,1063,1063,1063
ALPSINDUS,1085,1085,1190,1085,1085
AMARAJABAT,1118.28,1110,1118.28,1110,1110
AMBER,1260,1248,1260,1250.43,1248
AMBICAAGAR,1115,1115,1128.67,1121.23,1128.67
AMBIKCO,1240.1,1240.1,1250,1250,1250
AMBUJACEM,1140.01,1140.01,1140.01,1140.01,1140.01
AMDIND,3.8,3.65,3.8,3.7,3.7
AMIORG,459.9,459.9,461,460,460
AMJLAND,413,413,441,441,441
AMRUTANJAN,1210.9,1175.05,1210.9,1189,1190
ANANDRATHI,1014.7,1014.4,1014.74,1014.4,1014.4
ANANTRAJ,1055,1055,1059.98,1059.98,1059.98
ANDHRAPAP,1033.99,1026.16,1033.99,1026.16,1026.16
ANDHRSUGAR,1063.11,1059,1063.11,1059,1059
ANDREWYU,1003.61,1003.51,1006,1004,1004
ANGELONE,1045.5,1015.8,1045.5,1015.8,1015.8
ANIKINDS,1098,1070,1098,1075,1075
ANKITMETAL,1010,1010,1013.01,1012,1012
ANMOL,1095,1095,1097,1097,1097
ANSALAPI,1097.01,1097.01,1097.01,1097.01,1097.01
ANTGRAPHIC,1000,1000,1000,1000,1000
ANUP,1020,1020,1020,1020,1020
ANURAS,1067.01,1063.2,1067.8,1063.2,1063.2
APARINDS,173.65,172.8,175.75,173.15,173.3
APCL,699.99,699.99,699.99,699.99,699.99
APCOTEXIND,999,998.5,999,998.55,998.5
APEX,1004,1004,1004,1004,1004
APLAPOLLO,1008,1008,1008,1008,1008
APLLTD,448,441.85,459.5,454.35,459.5
APOLLO,772.95,771.1,786.6,781.85,781
APOLLOHOSP,793.7,780.1,798.7,784.4,781
APOLLOPIPE,25.7,25.3,25.95,25.4,25.3
APOLLOTYRE,167,163.1,175,168.1,168
APOLSINHOT,2100,2062,2122.9,2072.3,2077
APTECHT,51.6,50.2,51.75,50.55,50.4
APTUS,3259,3238.2,3306.7,3265.85,3269.25
ARCHIDPLY,18401.9,18130.05,18448.95,18175.2,18170
ARCHIES,111.9,109.5,112.2,110.2,110.2
ARENTERP,332,325.1,332.2,328.6,328
ARIES,78,74.7,78.45,78.45,78.45
ARIHANTCAP,439,435.3,440.95,437.05,436.25
ARIHANTSUP,2316,2242.9,2318,2253.9,2248.65
ARMANFIN,1065.2,1061.05,1083.85,1070.4,1074.1
AROGRANITE,258.9,253.75,270.3,264.15,261.35
ARROWGREEN,291.4,277.6,291.5,280.6,281.25
ARSHIYA,590,577,592.95,579,580
ARSSINFRA,3218,3189,3262.8,3233.65,3228
