SYMBOL,OPEN,LOW,HIGH,CLOSE,LAST,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,SERIES,TIMESTAMP,ISIN
20MICRONS,96.85,95.4,97.85,95.95,96.25,56206,5417799.75,1996,EQ,2022-10-13,INE144J01027
21STCENMGM,23.15,22.8,23.6,23.3,23,5194,119943.7,102,EQ,2022-10-13,INE253B01015
3IINFOLTD,42.6,42.25,43.4,42.6,42.5,263245,11230790,2745,EQ,2022-10-13,INE748C01038
3MINDIA,23552,23330,23588.1,23384.1,23429.85,3090,72348259.45,886,EQ,2022-10-13,INE470A01017
3PLAND,19,18.25,19.1,18.95,19,7773,145886.9,110,EQ,2022-10-13,INE105C01023
4THDIM,79.9,79.9,79.9,79.9,79.9,101,8069.9,3,EQ,2022-10-13,INE382T01022
5PAISA,331.5,331.5,363,353.65,354.7,62149,21607200.6,2936,EQ,2022-10-13,INE618L01018
63MOONS,172,167.85,173.45,168.55,168.15,54259,9224888.55,1867,EQ,2022-10-13,INE111B01023
A2ZINFRA,10.95,10.75,11.25,10.85,10.85,164815,1804203.7,401,EQ,2022-10-13,INE619I01012
AAKASH,14.65,13.95,14.65,14.15,14.05,388504,5510752.1,407,EQ,2022-10-13,INE087Z01024
AAREYDRUGS,38.6,38.6,42.75,40,39.55,553501,22855138.85,3530,EQ,2022-10-13,INE198H01019
AARON,161.5,157.1,164,160.5,163,2130,339640.6,136,BE,2022-10-13,INE721Z01010
AARTIDRUGS,3771.5,3748.9,3794,3784.6,3782,156770,591931021.2,15427,EQ,2022-10-13,INE216A01030
AARTIIND,28.53,28.41,28.74,28.43,28.42,3623,103185.4,110,N3,2022-10-13,INE216A08027
AARTISURF,2279,2271,2295.85,2283.25,2279.75,3528425,8051476174,99362,EQ,2022-10-13,INE001A01036
AARVEEDEN,376.25,372,380,372,372,6000,2256120,10,W3,2022-10-13,INE001A13049
AARVI,36.15,35.75,36.2,35.95,36.1,625892,22490349.25,5319,EQ,2022-10-13,INE031A01017
AAVAS,1180,1160.65,1180,1160.71,1160.65,820,957957,11,N2,2022-10-13,INE031A07840
ABAN,1140.65,1140.65,1140.65,1140.65,1140.65,800,912520,1,N5,2022-10-13,INE031A07865
ABB,1197,1197,1197,1197,1197,1,1197,1,N8,2022-10-13,INE031A07AO5
ABBOTINDIA,1210,1206,1210.01,1206,1206,364,440192.36,10,N9,2022-10-13,INE031A07AT4
ABCAPITAL,1205,1205,1205,1205,1205,110,132550,2,ND,2022-10-13,INE031A07949
ABFRL,1414.6,1386.6,1414.6,1394.07,1390,18,25298.6,4,NE,2022-10-13,INE031A07AB2
ABMINTLLTD,129.5,126.8,130.5,129.2,128.45,8437450,1085494147,35256,EQ,2022-10-13,INE148I01020
ABSLAMC,900,900,900,900,900,180,162000,4,NA,2022-10-13,INE148I07GL3
ACC,925,925,925,925,925,271,250675,8,NC,2022-10-13,INE148I08231
ACCELYA,905,900,905,905,905,655,592669.15,9,NE,2022-10-13,INE148I08256
ACCURACY,1400,1400,1400,1400,1400,40,56000,1,NF,2022-10-13,INE148I08272
ACE,975.6,975.6,975.6,975.6,975.6,5,4878,1,NN,2022-10-13,INE148I07KH3
ACRYSIL,1015,1015,1015,1015,1015,10,10150,1,NY,2022-10-13,INE148I07KR2
ADANIENT,905,901.4,905,901.4,901.4,5,4514.2,2,YA,2022-10-13,INE148I07LC2
ADANIGREEN,955,955,955,955,955,81,77355,6,YC,2022-10-13,INE148I07LE8
ADANIPORTS,1000,1000,1000,1000,1000,1,1000,1,YK,2022-10-13,INE148I07LL3
ADANIPOWER,979,979,979,979,979,5,4895,2,YV,2022-10-13,INE148I07LW0
ADANITRANS,969.99,969.99,969.99,969.99,969.99,5,4849.95,1,YX,2022-10-13,INE148I07LZ3
ADFFOODS,1110,1015,1110,1015,1015,20,21350,3,YZ,2022-10-13,INE148I07MH9
ADL,10,9.65,10.05,9.75,9.75,1819758,17745584.25,2131,EQ,2022-10-13,INE039A01010
ADORWELD,1093.99,1093,1094,1094,1094,166,181600.83,7,NH,2022-10-13,INE039A07801
ADROITINFO,353,349,356.4,350.4,349.3,179567,63491486.65,6845,EQ,2022-10-13,INE530B01024
ADSL,1035,1035,1035,1035,1035,20,20700,1,N6,2022-10-13,INE866I08279
ADVANIHOTR,1003,1002,1003,1002,1002,95,95191.62,5,N9,2022-10-13,INE866I07CK1
ADVENZYMES,1006.15,1006.15,1006.15,1006.15,1006.15,50,50307.5,1,NC,2022-10-13,INE866I08303
AEGISCHEM,1021,1020.01,1030,1029.8,1029.8,241,246232.79,4,NE,2022-10-13,INE530B08094
AETHER,1007.91,1004.01,1009.01,1009,1009,2339,2358563.43,30,NF,2022-10-13,INE530B08102
AFFLE,994,975,997,975.81,989.4,1272,1258642.03,18,NL,2022-10-13,INE530B07161
AGARIND,958.25,918.05,958.25,918.05,918.05,6,5709.3,2,NM,2022-10-13,INE530B07179
AGI,21.35,21.3,21.45,21.4,21.4,2494125,53298683.2,8233,EQ,2022-10-13,INE053F01010
AGRITECH,1095,1095,1095,1095,1095,624,683280,3,N9,2022-10-13,INE053F07678
AGROPHOS,1224.99,1224.99,1224.99,1224.99,1224.99,50,61249.5,1,NA,2022-10-13,INE053F07686
AGSTRA,1100,1100,1100,1100,1100,50,55000,1,NB,2022-10-13,INE053F07710
AHLADA,1070.3,1070.3,1070.3,1070.3,1070.3,100,107030,1,ND,2022-10-13,INE053F07736
AHLEAST,1250,1239.2,1250,1239.96,1239.2,84,104167.1,6,NE,2022-10-13,INE053F07744
AHLUCONT,1050,1045.01,1050,1045.01,1045.01,500,523009,3,NI,2022-10-13,INE053F07827
AIAENG,1130,1113.06,1130,1129.06,1129.39,2222,2491311.64,45,NJ,2022-10-13,INE053F07835
AIRAN,1190,1190,1209.99,1209.99,1209.99,150,180379.06,6,NK,2022-10-13,INE053F07843
AIROLAM,1058.99,1045.35,1058.99,1051,1051,625,653857.2,5,NN,2022-10-13,INE053F07892
AJANTPHARM,1137.15,1137,1140,1139.99,1139.99,436,496142.31,18,NO,2022-10-13,INE053F07900
AJMERA,207.45,203.15,208.25,206.1,205.9,3303126,680366636.3,17732,EQ,2022-10-13,INE774D01024
AJOONI,1066,1062,1066,1062,1062,50,53192.5,4,N2,2022-10-13,INE774D08MA6
