SYMBOL,TOTTRDQTY,TOTTRDVAL,TOTALTRADES
20MICRONS,56206,5417799.75,1996
21STCENMGM,5194,119943.7,102
3IINFOLTD,263245,11230790,2745
3MINDIA,3090,72348259.45,886
3PLAND,7773,145886.9,110
4THDIM,101,8069.9,3
5PAISA,62149,21607200.6,2936
63MOONS,54259,9224888.55,1867
A2ZINFRA,164815,1804203.7,401
AAKASH,388504,5510752.1,407
AAREYDRUGS,553501,22855138.85,3530
AARON,2130,339640.6,136
AARTIDRUGS,156770,591931021.2,15427
AARTIIND,3623,103185.4,110
AARTISURF,3528425,8051476174,99362
AARVEEDEN,6000,2256120,10
AARVI,625892,22490349.25,5319
AAVAS,820,957957,11
ABAN,800,912520,1
ABB,1,1197,1
ABBOTINDIA,364,440192.36,10
ABCAPITAL,110,132550,2
ABFRL,18,25298.6,4
ABMINTLLTD,8437450,1085494147,35256
ABSLAMC,180,162000,4
ACC,271,250675,8
ACCELYA,655,592669.15,9
ACCURACY,40,56000,1
ACE,5,4878,1
ACRYSIL,10,10150,1
ADANIENT,5,4514.2,2
ADANIGREEN,81,77355,6
ADANIPORTS,1,1000,1
ADANIPOWER,5,4895,2
ADANITRANS,5,4849.95,1
ADFFOODS,20,21350,3
ADL,1819758,17745584.25,2131
ADORWELD,166,181600.83,7
ADROITINFO,179567,63491486.65,6845
ADSL,20,20700,1
ADVANIHOTR,95,95191.62,5
ADVENZYMES,50,50307.5,1
AEGISCHEM,241,246232.79,4
AETHER,2339,2358563.43,30
AFFLE,1272,1258642.03,18
AGARIND,6,5709.3,2
AGI,2494125,53298683.2,8233
AGRITECH,624,683280,3
AGROPHOS,50,61249.5,1
AGSTRA,50,55000,1
AHLADA,100,107030,1
AHLEAST,84,104167.1,6
AHLUCONT,500,523009,3
AIAENG,2222,2491311.64,45
AIRAN,150,180379.06,6
AIROLAM,625,653857.2,5
AJANTPHARM,436,496142.31,18
AJMERA,3303126,680366636.3,17732
AJOONI,50,53192.5,4
AJRINFRA,16291160,618803364.9,22121
AKASH,2,2499.98,1
AKG,200,271000,2
AKSHAR,9447511,1563267470,40249
AKSHARCHEM,190,212798.5,15
AKSHOPTFBR,435,543100.46,5
AKZOINDIA,28722,382880.18,71
ALANKIT,100,104775.75,2
ALBERTDAVD,166,199018,24
ALEMBICLTD,4925016,502108356.4,21018
ALICON,717,868006.78,12
ALKALI,1335,1496720,9
ALKEM,100,111940,3
ALKYLAMINE,150,207341.01,5
ALLCARGO,2981139,964172010.8,22686
ALLSEC,17,18023.5,3
ALMONDZ,6193522,569222128.5,20274
ALOKINDS,100,109879,1
ALPA,320,367460,4
ALPHAGEO,200,212250,2
ALPSINDUS,1082,1182475,10
AMARAJABAT,20,22282.8,3
AMBER,700,875306,3
AMBICAAGAR,673,751018.01,7
AMBIKCO,547,681621.5,6
AMBUJACEM,11,12540.11,2
AMDIND,421906,1566612.9,829
AMIORG,97,44635,9
AMJLAND,55,24115,4
AMRUTANJAN,403331,479872595.4,18766
ANANDRATHI,178,180601.87,9
ANANTRAJ,162,171666.96,3
ANDHRAPAP,107,110582.12,3
ANDHRSUGAR,300,318187.22,8
ANDREWYU,675,677782,15
ANGELONE,26,26796.9,3
ANIKINDS,388,418206,23
